 "topicURI" , "topicLabel" , "catalog" , "subject" , "topicCount" ,
 "http://dbpedia.org/resource/X86" , "DL" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Deep_learning" , "Deep Learning" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Dublin_Core" , "Dublin Core" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/European_Union" , "EU" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Gene_ontology" , "Gene Ontology" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/HarperCollins" , "Harper Collins" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/IBM" , "IBM" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/James_VI_and_I" , "James" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Apache_Jena" , "Jena" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Jena" , "Jena" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Knowledge_worker" , "Knowledge Worker" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Level_of_detail" , "LOD" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/London" , "London" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Leonardo_da_Vinci" , "Léonard de Vinci" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Microsoft" , "Microsoft" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Morgan_Motor_Company" , "Morgan" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Naive_Bayes_classifier" , "Naïve Bayes" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Facebook_Platform" , "Open Graph Protocol" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Paris_Hilton" , "Paris Hilton" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Sameer_(lyricist)" , "Sameer" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Steve_Jobs" , "Steve Jobs" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Basketball_Super_League" , "TBL" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Unsupervised_learning" , "Unsupervised" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Terry_Winograd" , "Winograd" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Inference" , "inference" , "474" , "COMP" , "2" ,
 "http://dbpedia.org/resource/AI_winter" , "AI Winter" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Alan_Turing" , "Alan Turing" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/AlexNet" , "AlexNet" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Bayes_classifier" , "Bayes Classifier" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Bayes'_theorem" , "Bayes' theorem" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Breadth-first_search" , "Breadth-First Search" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/C3_carbon_fixation" , "C3" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Centroid" , "Centroid" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Delta_State" , "Delta" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/French_language" , "French" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/ImageNet" , "ImageNet" , "6721" , "COMP" , "2" ,
 "http://dbpedia.org/resource/Joseph_Weizenbaum" , "Joseph Weizenbaum" , "6721" , "COMP" , "2" ,
