"reqLabel","title","website"
"Required","[Yu14,Chapters1,2](Introduction,RDF)","https://concordiauniversity.on.worldcat.org/oclc/897466408"
"Supplemental","[Wor14](RDFPrimer)","http://www.w3.org/TR/rdf11-primer/"
"Supplemental","[RN10,Chapter12](KnowledgeRepresentation)","https://concordiauniversity.on.worldcat.org/oclc/359890490"
"Supplemental","Graphdatabases:ThebestkeptsecretforeffectiveAI","https://www.youtube.com/watch?v=2ZzGMzitNgo"
